SOURCE,TEXT,
http://g1.globo.com/politica/noticia/advogado-diz-que-aecio-recebeu-legalmente-emprestimo-de-empresario.ghtml,"Nota à Imprensa
O senador Aécio Neves foi surpreendido hoje (18/05) com a gravidade das medidas autorizadas pela Justiça, a partir da reunião havida com o sr. Joesley Batista.
Tratou-se única e exclusivamente de uma relação entre pessoas privadas, em que o senador solicitou apoio para cobrir custos de sua defesa, já que não dispunha de recursos para tal.
Foi proposta, em primeiro lugar, a venda ao executivo de um apartamento de propriedade da família. O delator propôs, entretanto, já atendendo aos interesses de sua delação, emprestar recursos lícitos provenientes de sua empresa, o que ocorreu sem qualquer contrapartida, sem qualquer ato que mesmo remotamente possa ser considerado ilegal ou mesmo que tenha qualquer relação com o setor público.
Registre-se ainda que a intenção do senador sempre foi, quando da venda do apartamento, ressarcir o empresário.
O senador Aécio Neves lamenta profundamente versões que têm sido divulgadas sobre o caso e, com serenidade e firmeza, vai demonstrar a correção de suas ações e de seus familiares, e a farsa de que foi vítima, montada pelo delator de forma premeditada e criminosa, induzindo as conversas para alcançar seus objetivos de obter os benefícios da delação.
O senador manifesta sua incompreensão e inconformismo pelo pedido de prisão preventiva de sua irmã Andrea Neves, que nada mais fez do que atender seu pedido de levar ao empresário, uma vez que o senador se encontrava em, Brasília, a proposta de venda do apartamento da família.
Apesar de toda essa violência, o senador segue confiando nas instituições na certeza de que a Justiça, feitas as devidas investigações, demonstrará a absoluta correção dos seus atos e de seus familiares.
José Eduardo Alckmin
Advogado do senador Aécio Neves",
http://politica.estadao.com.br/blogs/fausto-macedo/irma-de-aecio-queria-r-40-mi-para-comprar-apartamento-diz-delator/,"“Andrea Neves, irmã do senador, em busca de apoio para pagamento da defesa do irmão, a pedido dele procurou o empresário, a quem não conhecia, e ofereceu a ele comprar o referido apartamento de propriedade de sua mãe há mais de 30 anos, e onde ela ainda reside, como forma de, como parte da venda, a família poder honrar as despesas com a defesa do senador”",
http://politica.estadao.com.br/blogs/fausto-macedo/irma-de-aecio-queria-r-40-mi-para-comprar-apartamento-diz-delator/,"“Jamais houve, assim, pedido de recursos para a compra de um apartamento, mas, sim, que o apartamento da família fosse comprado pelo empresário.
A proposta de um pagamento feito de forma direta pra os advogados foi feita pelo delator já como estratégia da sua delação”",
http://politica.estadao.com.br/blogs/fausto-macedo/irma-de-aecio-queria-r-40-mi-para-comprar-apartamento-diz-delator/,"“Tratou-se única e exclusivamente de uma relação entre pessoas privadas, em que o senador solicitou apoio para cobrir custos de sua defesa, já que não dispunha de recursos para tal”",
https://oglobo.globo.com/brasil/advogado-de-temer-fala-em-adulteracao-de-gravacao-feita-por-dono-da-jbs-21368888,"“No diálogo com Joesley Batista, o presidente Michel Temer diz que nada fez pelo ex-deputado Eduardo Cunha. Isso prova que o presidente não obstruiu a Justiça. Michel Temer não recebeu valores, a não ser os permitidos pela Lei Eleitoral e declarados ao Tribunal Superior Eleitoral (TSE). Portanto, não tem envolvimento em nenhum tipo de crime.”

Leia mais: https://oglobo.globo.com/brasil/advogado-de-temer-fala-em-adulteracao-de-gravacao-feita-por-dono-da-jbs-21368888#ixzz4heCCA25Z 
stest ",
http://g1.globo.com/rio-de-janeiro/noticia/eike-tem-r-900-milhoes-bloqueados-e-nao-ha-como-pagar-fianca-diz-advogado.ghtml,"""A nova decisão (...) ampliando o limite total de bens que deve permanecer bloqueado, implica na expropriação ilegal de todo patrimônio de Eike Batista e, se não imediatamente revista, impossibilitará o pagamento da fiança imposta e acarretará, consequentemente, o retorno de Eike Batista à prisão, contrariando decisão do Supremo Tribunal Federal"".",
https://www.campograndenews.com.br/politica/delacao-sem-prova-e-mera-papagaiada-diz-advogado-de-zeca-do-pt,"“O deputado Zeca do PT não tem o menor temor da alardeada delação dos executivos do grupo JBS, já que na condição de ex-governador do Estado, nunca pediu e nem tomou conhecimento de que alguém tenha pedido propina ao referido grupo em seu nome ou em nome do seu governo.

Resta desafiado que seja apresentado qualquer prova ou indício do fato aludido na referida delação.

O Deputado Zeca do PT confia que o poder judiciário ao final da apuração saberá distinguir as verdadeiras imputações daquelas que tem um único propósito: Obter benefício com uso indevido da delação premiada.

Deputado Federal Zeca do PT
19/05/2017",
http://blogs.ne10.uol.com.br/jamildo/2017/05/19/jbs-diz-que-deu-r-15-milhoes-em-propina-para-campanhas-de-eduardo-e-paulo-camara-e-ainda-cita-geraldo-e-fbc/,"<p><em>&#8220;Venho repudiar, veementemente, a exploração política do <a href=""http://blogs.ne10.uol.com.br/jamildo/2017/05/04/para-ptb-porta-voz-do-psb-deve-cobrar-dos-lideres-cronograma-de-entrega-das-obras-paralisadas/"">depoimento do delator Ricardo Saud, que, já antecipo, não corresponde à verdade. Não recebi d</a>oação da JBS de nenhuma forma. Nunca solicitei e nem recebi recursos de qualquer empresa em troca de favores. Tenho uma vida dedicada ao serviço público. Sou um homem de classe média, que vivo do meu salário.</em></p>
<p><em>Como comprovará quem se der ao trabalho de ler o documento que sintetiza a delação, o próprio delator afirma (no anexo 36, folhas 72 e 73) que nas doações feitas ao PSB Nacional &#8220;não houve negociação nem promessa de ato de ofício&#8221;, o que significa que jamais houve qualquer compromisso de troca de favores ou benefícios. Desta forma, é completamente descabido o uso de expressões como &#8220;propina&#8221; ou “pagamento”.</em></p>
<p><em>Reafirmo a Pernambuco e ao Brasil que todas as doações para a minha campanha foram feitas na forma da lei, registradas e aprovadas pela Justiça Eleitoral&#8221;.</em></p>
<p><em>Paulo Câmara</em><br />
 <em> Governador de Pernambuco</em></p>
<h2>Geraldo Júlio</h2>",
http://blogs.ne10.uol.com.br/jamildo/2017/05/19/jbs-diz-que-deu-r-15-milhoes-em-propina-para-campanhas-de-eduardo-e-paulo-camara-e-ainda-cita-geraldo-e-fbc/,"<p><em>&#8220;Diante da menção ao seu nome por um dos delatores da JBS, divulgada <a href=""http://blogs.ne10.uol.com.br/jamildo/2017/04/13/executivos-da-odebrecht-falam-em-doacoes-de-caixa-2-para-campanha-de-geraldo-julio/"">hoje pela imprensa, o Prefeito Geraldo Julio repudia veementemente as acusações </a>e esclarece que nunca tratou de recursos ilegais com essa empresa ou com qualquer outra. O próprio documento divulgado pela justiça registra que as doações feitas a campanha nacional do PSB não foram por troca de favores. Todas as doações recebidas pelo partido foram legais.&#8221;</em></p>
<p><em>Geraldo Julio</em><br />
 <em> Prefeito do Recife</em></p>",
http://www1.folha.uol.com.br/poder/2017/04/1874691-politicos-citados-na-lista-de-fachin-negam-irregularidades.shtml,não tem conhecimento do depoimento e não vai se manifestar,
http://www1.folha.uol.com.br/poder/2017/04/1874691-politicos-citados-na-lista-de-fachin-negam-irregularidades.shtml,O ministro Aloysio Nunes Ferreira disse que as afirmações são mentirosas. Mas só vai se manifestar depois que tiver acesso ao conteúdo do pedido de inquérito,
http://www1.folha.uol.com.br/poder/2017/04/1874691-politicos-citados-na-lista-de-fachin-negam-irregularidades.shtml,"Lamento que meu nome tenha sido incluído numa lista de pessoas citadas em delações da Construtora Odebrecht, sem que eu tivesse qualquer possibilidade de acesso ao conteúdo para me defender. Me causa grande constrangimento ter minha honra e dignidade maculadas, numa situação na qual não sei sequer do que sou acusado. Mesmo assim, gostaria de esclarecer que:<br>",
http://www1.folha.uol.com.br/poder/2017/04/1874691-politicos-citados-na-lista-de-fachin-negam-irregularidades.shtml,"De acordo com a legislação eleitoral, solicitei doações para diversas empresas, inclusive a Odebrecht, como já foi anteriormente noticiado. O sistema democrático vigente estabelecia a participação de instituições privadas por meio de doações. Mantive uma relação institucional com todas essas empresas. Em todo o meu mandato, sempre atuei em prol de interesses coletivos. Atuei de acordo com a minha consciência.",1. Não recebi doações da Odebrecht para minhas campanhas eleitorais.<br>
http://www1.folha.uol.com.br/poder/2017/04/1874691-politicos-citados-na-lista-de-fachin-negam-irregularidades.shtml,"O ministro confia na Justiça, ressalta que não teve acesso oficialmente às informações e que é necessário ter cautela com depoimentos de colaboradores, que não são provas. Reafirma que os atos praticados em suas campanhas foram realizados conforme a legislação",2. Não tenho ou tive qualquer relação com a empresa ou os seus dirigentes.<br>
http://www1.folha.uol.com.br/poder/2017/04/1874691-politicos-citados-na-lista-de-fachin-negam-irregularidades.shtml,"O ministro Helder Barbalho (Integração Nacional) vem a público prestar os seguintes esclarecimentos: 1) Helder Barbalho nega que tenha cometido ilegalidades; 2) Helder Barbalho reafirma que todos os recursos que recebeu como doações para sua campanha em 2014 foram devidamente registradas junto ao TRE-PA, que aprovou todas as suas contas; 3) Helder Barbalho esclarece que não tinha e não tem qualquer ingerência sobre a área de saneamento no município de Marabá; 4) Helder Barbalho destaca sua estranheza com o codinome Cavanhaque. Em toda sua trajetória política, Helder Barbalho nunca usou cavanhaque",3. Tenho minha consciência tranquila de que nada fiz de errado.
